Price,Area,City,Bedrooms,Bathrooms,Location,Property_Type,Built_in_year,Parking_space,Servant_Quarters,Store_rooms,Kitchens,Drawing_Rooms
12.25 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
3.1 Crore,7.8 Marla,Islamabad,2 Beds,2 Baths,"F-11, Islamabad, Islamabad Capital",Flat,,,,,,
4.7 Crore,4 Marla,Islamabad,4 Beds,5 Baths,"D-12, Islamabad, Islamabad Capital",House,,,,,,
4.4 Crore,8 Marla,Islamabad,4 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
3.15 Crore,7 Marla,Islamabad,4 Beds,5 Baths,"FECHS, Islamabad, Islamabad Capital",House,,,,,,
3.5 Crore,8 Marla,Islamabad,4 Beds,4 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
10 Crore,1 Kanal,Islamabad,10 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
4.15 Crore,8 Marla,Islamabad,5 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
9.5 Crore,1 Kanal,Islamabad,5 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
3.3 Crore,4 Marla,Islamabad,4 Beds,4 Baths,"G-13, Islamabad, Islamabad Capital",House,,,,,,
21.9 Crore,1.2 Kanal,Islamabad,5 Beds,6 Baths,"F-10, Islamabad, Islamabad Capital",House,,,,,,
1.4 Arab,5 Kanal,Islamabad,10 Beds,6 Baths,"F-6, Islamabad, Islamabad Capital",House,,,,,,
6.95 Crore,10 Marla,Islamabad,4 Beds,4 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
12 Crore,10.6 Marla,Islamabad,6 Beds,6 Baths,"G-10, Islamabad, Islamabad Capital",House,,,,,,
40 Crore,1 Kanal,Islamabad,9 Beds,-,"F-8, Islamabad, Islamabad Capital",House,,,,,,
4 Crore,7 Marla,Islamabad,4 Beds,5 Baths,"Gulberg, Islamabad, Islamabad Capital",House,,,,,,
78 Lakh,5 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
7.8 Crore,10 Marla,Islamabad,5 Beds,5 Baths,"G-9, Islamabad, Islamabad Capital",House,,,,,,
79 Lakh,5 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
46 Crore,2 Kanal,Islamabad,6 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
3.1 Crore,8 Marla,Islamabad,4 Beds,6 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
22 Crore,1.5 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
4.45 Crore,6 Marla,Islamabad,4 Beds,5 Baths,"I-11, Islamabad, Islamabad Capital",House,,,,,,
55 Lakh,1.8 Marla,Islamabad,1 Bed,1 Bath,"H-13, Islamabad, Islamabad Capital",Flat,,,,,,
6.15 Crore,8 Marla,Islamabad,5 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",House,,,,,,
80 Lakh,3.6 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",Flat,,,,,,
70 Lakh,2 Marla,Islamabad,2 Beds,2 Baths,"H-13, Islamabad, Islamabad Capital",House,,,,,,
60 Crore,2.5 Kanal,Islamabad,5 Beds,6 Baths,"F-6, Islamabad, Islamabad Capital",House,,,,,,
85 Lakh,5 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
1.7 Crore,5 Marla,Islamabad,3 Beds,2 Baths,"H-13, Islamabad, Islamabad Capital",House,,,,,,
6.25 Crore,5 Marla,Islamabad,4 Beds,5 Baths,"G-11, Islamabad, Islamabad Capital",House,,,,,,
13 Crore,16 Marla,Islamabad,9 Beds,7 Baths,"E-11, Islamabad, Islamabad Capital",House,,,,,,
1 Arab,2.2 Kanal,Islamabad,7 Beds,-,"F-6, Islamabad, Islamabad Capital",House,,,,,,
8 Crore,1 Kanal,Islamabad,7 Beds,7 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
10.5 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
22 Crore,2 Kanal,Islamabad,7 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
5.5 Crore,10 Marla,Islamabad,6 Beds,6 Baths,"FECHS, Islamabad, Islamabad Capital",House,,,,,,
29.5 Crore,1 Kanal,Islamabad,4 Beds,5 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
1.7 Crore,3.1 Marla,Islamabad,2 Beds,2 Baths,"G-11, Islamabad, Islamabad Capital",Flat,,,,,,
